"referenceId","Bodega","SKU","Entry ID","Fecha de entrada","Fecha de vencimiento","Inv Entra","Inv Vendido","Inv en Transito","Inv Dañado","Inv Destruido","Inv Donado","Inv Mercadeo","Inv Ajustado","Inv Disponible","Precio Unidad","Vence en","Días de Inv","En Bodega"
"916","Yogurt Finesse Melocoton Botella",Multiservicios Colombia,7702001042722,15,,0,,,,,,,,,6101,,,
"917","Kumis Vaso",Multiservicios Colombia,7702001026951,15,,0,,,,,,,,,2596,,,
"928","Pan Mantequilla Guadalupe",Quick,7705326020505,2,,0,,,,,,,,,1538,,,
"934","Pan Integral Bimbo",Quick,7705326072535,2,,0,,,,,,,,,1615,,,
"1085","DeTodito Natural",Quick,7702189032515,2,,0,,,,,,,,,605,,,
"1312","Pringles Queso ",Quick,3800014170,2,,0,,,,,,,,,1829,,,
"1313","Pringles Sour Cream and Onion",Quick,3800014169,2,,0,,,,,,,,,1829,,,
"1314","Pringles Original ",Quick,3800014168,2,,0,,,,,,,,,1829,,,
"1338","Yogo Yogo  Mora ",Quick,7702001046416,20,,0,,,,,,,,,1688,,,
"1364","Compota Orgánica Manzana ",Quick,7702177019498,2,,0,,,,,,,,,1588,,,
"1365","Compota Orgánica Banano- Manzana ",Quick,7702177019474,2,,0,,,,,,,,,1588,,,
"1366","Leche de Almendras",Quick,7702177019245,2,,0,,,,,,,,,5160,,,
"1375","Pan Blanco Bimbo ",Quick,7705326074492,2,,0,,,,,,,,,1999,,,
"1384","Protector Duo Ajustable Kotex ",Quick,7702425630239,2,,0,,,,,,,,,4625,,,
"1390","Domo Segunda Selección Brownie",Quick,7705326078629,2,,0,,,,,,,,,2262,,,
"1392","Lenteja Maritza Corriente ",Quick,7707335280871,2,,0,,,,,,,,,2506,,,
"1393","Frijol Maritza Radical ",Quick,7707335280789,2,,0,,,,,,,,,2493,,,
"1394","Frijol Maritza Radical",Quick,7707335283452,2,,0,,,,,,,,,4918,,,
"1395","Arveja Maritza Verdeseca ",Quick,7707335280772,2,,0,,,,,,,,,876,,,
"1396","Avena en Hojuelas  la Abuela  ",Quick,7707287462653,2,,0,,,,,,,,,1173,,,
"1402","Avena en Hojuelas la Abuela",Quick,7707287462998,2,,0,,,,,,,,,2254,,,
"1405","Buñuelos Haz de Oros",Quick,7702020021340,2,,0,,,,,,,,,3782,,,
"1412","Enjuague Bucal Plax 500ml + otro de 250ml",Quick,7702010660276,2,,0,,,,,,,,,7794,,,
"1413","Lavaloza Axion Liquido Aloe",Quick,7509546076195,2,,0,,,,,,,,,4630,,,
"1414","Lavaloza Axion Liquido Avena",Quick,7509546076171,2,,0,,,,,,,,,4630,,,
"1415","Azucar  Mayaguez Blanco",Quick,7707007200459,2,,0,,,,,,,,,1857,,,
"1416","Azucar Mayaguez Natural",Quick,7707007200411,2,,0,,,,,,,,,1897,,,
"1417","Perfume de Té Verde y Aloe Vera",Quick,petg0120,17,,0,,,,,,,,,9100,,,
"1418","Shampoo Té Verde y Aloe Vera",Quick,petg0240,17,,0,,,,,,,,,11100,,,
"1420","Tableta Chocolate Blanco con Arandanos",Quick,7707316230406,2,,0,,,,,,,,,4202,,,
"1421","Tableta Chocolate 40% Cacaco + Leche ",Quick,7707316230505,2,,0,,,,,,,,,4202,,,
"1422","Tableta Chocolate 60% Cacaco ",Quick,7707316230529,2,,0,,,,,,,,,4202,,,
"1423","Coco recubierto de chocolate",Quick,7707316230253,2,,0,,,,,,,,,4202,,,
"1424","Lulo recubierto de chocolate",Quick,7707316230376,2,,0,,,,,,,,,4202,,,
"1425","Maracuyá recubierto de chocolate",Quick,7707216230186,2,,0,,,,,,,,,4202,,,
"1426","Al Natural Naranja",Quick,7702177019313,2,,0,,,,,,,,,2385,,,
"1427","Yogurt + M&M",Quick,7707331405537,2,,0,,,,,,,,,3678,,,
"1428","Avena Autentica ",Quick,7702177016466,2,,0,,,,,,,,,4242,,,
"1434","Yogueta Frutales ",Quick,7702174073431,2,,0,,,,,,,,,4508,,,
"1435","Play By Trolli Osos ",Quick,7702174075845,2,,0,,,,,,,,,7750,,,
"1436","Biagi Artesano Chocolate & Mani ",Quick,7702174076036,2,,0,,,,,,,,,2395,,,
"1437","Frunas Gomas Bombonera",Quick,7702174075763,2,,0,,,,,,,,,6807,,,
"1438","Frunas Gomas Cubo ",Quick,7702174076425,2,,0,,,,,,,,,7750,,,
"1439","Frunas Plana ",Quick,7702174076944,2,,0,,,,,,,,,3152,,,
"1440","Click Mints Masticables Bolsa",Quick,7702174076678,2,,0,,,,,,,,,2095,,,
"1441","Play Osos Rellenos Bombonera",Quick,7702174076647,2,,0,,,,,,,,,4979,,,
"1442","Leche Condensada",Quick,7702177019825,2,,0,,,,,,,,,3666,,,
"1444","Bebida De Coco Sabor Chocolate",Quick,74447391233,2,,0,,,,,,,,,3905,,,
"1450","Rizadas Mayonesa Promundial",Quick,7703133030649,2,,0,,,,,,,,,2805,,,
"1451","Rizadas Limon Promundial",Quick,7703133071079,2,,0,,,,,,,,,1540,,,
"1452","El Golpe Con Todo Ranchero Promundial",Quick,7703133087179,2,,0,,,,,,,,,1705,,,
"1454","Chocolate Twix Barra ",Quick,7707214460059,2,,0,,,,,,,,,1613,,,
"1455","Barquillo Pirulin Tarro",Quick,7591675010508,2,,0,,,,,,,,,6213,,,
"1456","Olivetto Freido ",Quick,7702109015055,2,,0,,,,,,,,,7364,,,
"1458","Espumadera Nylon New Line",Quick,7806810235006,2,,0,,,,,,,,,3361,,,
"1459","Servidor De Tallarines New Line",Quick,7806810235013,2,,0,,,,,,,,,3361,,,
"1460","Paleta Calada Nylon New Line",Quick,7806810235068,2,,0,,,,,,,,,3361,,,
"1461","Cuchara Lisa Nylon Ilko Desing",Quick,7806810235044,2,,0,,,,,,,,,3361,,,
"1462","Rebanador De Quesos Ilko Desing",Quick,7806810242028,2,,0,,,,,,,,,2857,,,
"1464","Prensa Ajos Con Base New Line",Quick,7806810245500,2,,0,,,,,,,,,6303,,,
"1465","Cuchara De Helados Ilko Desing",Quick,7806810240543,2,,0,,,,,,,,,2521,,,
"1466","Pincha Choclos Ilko Desing",Quick,7806810241342,2,,0,,,,,,,,,5042,,,
"1467","Jarro Ilko Clas Lechero Antiadh ",Quick,7806810239363,2,,0,,,,,,,,,11092,,,
"1468","Cuchillo Ilko  Chef ",Quick,7806810262033,2,,0,,,,,,,,,5630,,,
"1469","Cuchillo Ilko  Santoku ",Quick,7806810262026,2,,0,,,,,,,,,5630,,,
"1470","Tijeras Ilko Clas Inox Cocina Multiusos",Quick,7806810263023,2,,0,,,,,,,,,3361,,,
"1471","Sarten Ilko Dsgn Antiadherente",Quick,7806810239325,2,,0,,,,,,,,,17647,,,
"1472","Sarten Ilko Dsgn Antiadherente  ",Quick,7806810239332,2,,0,,,,,,,,,21849,,,
"1473","Molde Antiadherente Recta ",Quick,7806810202046,2,,0,,,,,,,,,5294,,,
"1474","Molde Antiadherente 6 Muffins Marble- Desing",Quick,7806810202015,2,,0,,,,,,,,,5462,,,
"1475","Molde Antiadherente Kuchen-Pizza  Marble- Desing",Quick,7806810202039,2,,0,,,,,,,,,5042,,,
